"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",2180,43,793.035,8,"active","non-churn"
"no complaint",715,26,807.345,1,"active","non-churn"
"no complaint",968,29,47.425,53,"active","non-churn"
"no complaint",100,15,5.175,3,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",625,22,29.115,2,"active","non-churn"
"no complaint",2625,51,107.04,8,"active","non-churn"
"no complaint",1095,16,81.495,6,"active","non-churn"
"no complaint",5793,131,677.82,27,"active","non-churn"
"no complaint",8333,161,342.35,25,"active","non-churn"
"no complaint",2253,35,131.52,4,"active","non-churn"
"no complaint",3790,30,928.8,23,"active","non-churn"
"complaint",888,9,35.88,3,"active","churn"
"no complaint",4485,77,330.48,21,"active","non-churn"
"no complaint",433,11,173.76,8,"non-active","non-churn"
"no complaint",2568,66,1669.36,28,"active","non-churn"
"no complaint",4313,72,422.675,39,"active","non-churn"
"no complaint",2508,64,268.74,37,"active","non-churn"
"no complaint",3890,88,415.12,32,"active","non-churn"
"no complaint",2475,45,855.5,22,"active","non-churn"
"no complaint",9230,127,1078.28,47,"active","non-churn"
"no complaint",13888,175,690.52,48,"active","non-churn"
"no complaint",4630,89,324.76,29,"active","non-churn"
"no complaint",6033,101,401.36,16,"active","non-churn"
"complaint",2353,60,256.52,21,"non-active","non-churn"
"no complaint",15255,231,963.44,36,"active","non-churn"
"no complaint",3210,33,1368.575,12,"active","non-churn"
"no complaint",15600,188,1529.46,34,"active","non-churn"
"no complaint",6615,92,1140.28,30,"active","non-churn"
"no complaint",990,20,189.45,15,"non-active","non-churn"
"no complaint",825,20,213.8,12,"non-active","non-churn"
"no complaint",115,6,149.445,4,"non-active","churn"
"no complaint",7623,133,1974.24,47,"active","non-churn"
"no complaint",11580,160,401,51,"active","non-churn"
"no complaint",6833,81,941.13,41,"active","non-churn"
"complaint",1070,53,236.92,21,"non-active","churn"
"no complaint",10550,99,209.235,46,"active","non-churn"
"no complaint",5933,104,473.48,28,"active","non-churn"
"no complaint",2955,28,247.32,18,"active","non-churn"
"complaint",3105,47,290.08,20,"non-active","churn"
"no complaint",2383,50,225.825,35,"non-active","churn"
"no complaint",248,8,138.24,6,"non-active","churn"
"no complaint",1783,31,125.35,10,"active","non-churn"
"no complaint",6900,103,174.045,26,"active","non-churn"
"no complaint",743,13,121.4,8,"non-active","churn"
"no complaint",453,10,60.945,6,"active","non-churn"
"no complaint",16190,244,883.53,84,"active","non-churn"
"no complaint",7080,122,1500.08,37,"active","non-churn"
"no complaint",3833,88,292.84,32,"active","non-churn"
"no complaint",1780,50,220.75,24,"non-active","non-churn"
"no complaint",2895,59,1064.43,27,"active","non-churn"
"no complaint",1430,42,958.88,15,"active","non-churn"
"no complaint",1683,45,118.92,72,"active","non-churn"
"no complaint",815,31,201.84,11,"non-active","non-churn"
"no complaint",940,16,156.4,7,"non-active","non-churn"
"no complaint",1340,38,291.51,17,"active","non-churn"
"no complaint",3340,67,296.28,27,"active","non-churn"
"no complaint",1810,32,313.68,18,"active","non-churn"
"no complaint",6508,147,825.975,46,"active","non-churn"
"no complaint",9048,177,295.875,44,"active","non-churn"
"no complaint",2968,51,372.76,23,"active","non-churn"
"no complaint",4505,46,1170.04,14,"active","non-churn"
"no complaint",1603,25,193.12,11,"active","churn"
"no complaint",4255,65,194.4,13,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2338,54,1579.14,20,"active","non-churn"
"no complaint",4083,60,227.865,31,"active","non-churn"
"no complaint",2278,52,128.15,29,"active","non-churn"
"no complaint",3660,76,168.12,24,"active","non-churn"
"no complaint",2245,33,1103.12,14,"active","non-churn"
"no complaint",9000,115,812.6,39,"active","non-churn"
"no complaint",13658,163,552.84,40,"active","non-churn"
"no complaint",4400,77,179.08,21,"active","non-churn"
"no complaint",5803,89,265.14,8,"active","non-churn"
"no complaint",2123,48,86.84,13,"non-active","non-churn"
"no complaint",15025,219,697.76,28,"active","non-churn"
"no complaint",2980,21,1924.04,4,"active","non-churn"
"no complaint",15370,176,1230.57,26,"active","non-churn"
"no complaint",6385,80,874.6,22,"active","non-churn"
"no complaint",760,8,34.56,7,"non-active","non-churn"
"no complaint",595,8,27.135,4,"non-active","non-churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",7393,121,1922.13,39,"active","non-churn"
"no complaint",11350,148,459.92,43,"active","non-churn"
"no complaint",6603,69,642.24,33,"active","non-churn"
"no complaint",840,41,39.645,13,"non-active","churn"
"no complaint",10320,87,260.175,38,"active","non-churn"
"complaint",5703,92,260.775,20,"active","churn"
"no complaint",2725,16,109.64,10,"active","non-churn"
"complaint",2875,35,130.95,12,"non-active","churn"
"no complaint",2153,38,95.64,27,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1553,19,62.88,2,"active","non-churn"
"no complaint",6670,91,169.025,18,"active","non-churn"
"no complaint",513,1,12.85,3,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15960,232,728.64,76,"active","non-churn"
"no complaint",6850,110,1388.7,29,"active","non-churn"
"no complaint",3603,76,165.555,24,"active","non-churn"
"no complaint",1550,38,87.52,16,"non-active","non-churn"
"no complaint",2665,47,765.54,19,"active","non-churn"
"no complaint",1200,30,779.85,7,"active","non-churn"
"no complaint",1453,33,37.15,64,"active","non-churn"
"no complaint",585,19,27.18,3,"non-active","non-churn"
"no complaint",710,4,17.85,1,"non-active","non-churn"
"no complaint",1110,26,51.12,9,"active","non-churn"
"no complaint",3110,55,126.6,19,"active","non-churn"
"no complaint",1580,20,72,10,"active","non-churn"
"no complaint",6278,135,644.215,38,"active","non-churn"
"no complaint",8818,165,327.075,36,"active","non-churn"
"no complaint",2738,39,111.08,15,"active","non-churn"
"no complaint",4275,34,904.36,6,"active","non-churn"
"complaint",1373,13,62.37,3,"active","churn"
"no complaint",4560,72,241.28,20,"active","non-churn"
"no complaint",508,6,95.13,7,"non-active","non-churn"
"no complaint",2643,61,1580.16,27,"active","non-churn"
"no complaint",4388,67,300.025,38,"active","non-churn"
"no complaint",2583,59,205.81,36,"active","non-churn"
"no complaint",3965,83,325.92,31,"active","non-churn"
"no complaint",2550,40,1279.6,21,"active","non-churn"
"no complaint",9305,122,989.08,46,"active","non-churn"
"no complaint",13963,170,601.32,47,"active","non-churn"
"no complaint",4705,84,235.56,28,"active","non-churn"
"no complaint",6108,96,312.16,15,"active","non-churn"
"complaint",2428,55,167.32,20,"non-active","non-churn"
"no complaint",15330,226,874.24,35,"active","non-churn"
"no complaint",3285,28,2100.52,11,"active","non-churn"
"no complaint",15675,183,1429.11,33,"active","non-churn"
"no complaint",6690,87,1051.08,29,"active","non-churn"
"no complaint",1065,15,89.1,14,"non-active","non-churn"
"no complaint",900,15,124.6,11,"non-active","non-churn"
"no complaint",190,1,49.095,3,"non-active","churn"
"no complaint",7698,128,2120.67,46,"active","non-churn"
"no complaint",11655,155,345.25,50,"active","non-churn"
"no complaint",6908,76,840.78,40,"active","non-churn"
"complaint",1145,48,166.185,20,"non-active","churn"
"no complaint",10625,94,175.785,45,"active","non-churn"
"no complaint",6008,99,432.315,27,"active","churn"
"no complaint",3030,23,158.12,17,"active","non-churn"
"complaint",3180,42,200.88,19,"non-active","churn"
"complaint",2458,45,272.12,34,"non-active","churn"
"no complaint",323,3,49.04,5,"non-active","churn"
"no complaint",1858,26,111.36,9,"active","non-churn"
"no complaint",6975,98,140.595,25,"active","non-churn"
"no complaint",818,8,65.65,7,"non-active","churn"
"no complaint",528,5,27.495,5,"active","non-churn"
"no complaint",16265,239,783.18,83,"active","non-churn"
"no complaint",7155,117,1587.24,36,"active","non-churn"
"no complaint",3908,83,229.095,31,"active","non-churn"
"no complaint",1855,45,264,23,"non-active","non-churn"
"no complaint",2970,54,964.08,26,"active","non-churn"
"complaint",1505,37,978.39,14,"active","churn"
"no complaint",1758,40,142.45,71,"active","non-churn"
"no complaint",890,26,126.72,10,"non-active","non-churn"
"no complaint",1015,11,100.65,6,"non-active","non-churn"
"no complaint",1415,33,191.16,16,"active","non-churn"
"no complaint",3415,62,207.08,26,"active","non-churn"
"no complaint",1885,27,252.54,17,"active","non-churn"
"no complaint",6582,142,725.58,45,"active","non-churn"
"no complaint",9122,172,437.35,43,"active","non-churn"
"no complaint",3042,46,283.52,22,"active","non-churn"
"no complaint",4580,41,1080.84,13,"active","non-churn"
"no complaint",1677,20,103.88,10,"active","churn"
"no complaint",4180,70,170,14,"active","non-churn"
"no complaint",128,4,5.94,1,"non-active","non-churn"
"no complaint",2263,59,1492.88,21,"active","non-churn"
"no complaint",4008,65,224.015,32,"active","non-churn"
"no complaint",2203,57,124.3,30,"active","non-churn"
"no complaint",3585,81,238.64,25,"active","non-churn"
"no complaint",2170,38,1192.32,15,"active","non-churn"
"no complaint",8925,120,901.8,40,"active","non-churn"
"no complaint",13583,168,550.04,41,"active","non-churn"
"no complaint",4325,82,176.28,22,"active","non-churn"
"no complaint",5728,94,232.88,9,"active","non-churn"
"no complaint",2048,53,84.04,14,"non-active","non-churn"
"no complaint",14950,224,786.96,29,"active","non-churn"
"no complaint",2905,26,2013.24,5,"active","non-churn"
"no complaint",15295,181,1330.92,27,"active","non-churn"
"no complaint",6310,85,963.8,23,"active","non-churn"
"no complaint",685,13,31.41,8,"non-active","non-churn"
"no complaint",520,13,37.32,5,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7318,126,2022.48,40,"active","non-churn"
"no complaint",11275,153,290.7,44,"active","non-churn"
"no complaint",6528,74,742.59,34,"active","non-churn"
"no complaint",765,46,67.995,14,"non-active","churn"
"no complaint",10245,92,155.055,39,"active","non-churn"
"no complaint",5628,97,334.125,21,"active","churn"
"no complaint",2650,21,106.84,11,"active","non-churn"
"complaint",2800,40,113.6,13,"non-active","churn"
"no complaint",2078,43,184.84,28,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1478,24,60.08,3,"active","non-churn"
"no complaint",6595,96,107.865,19,"active","non-churn"
"no complaint",438,6,11.1,1,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15885,237,725.49,77,"active","non-churn"
"no complaint",6775,115,1489.05,30,"active","non-churn"
"no complaint",3528,81,162.405,25,"active","non-churn"
"no complaint",1475,43,176.72,17,"non-active","non-churn"
"no complaint",2590,52,865.89,20,"active","non-churn"
"no complaint",1125,35,880.2,8,"active","non-churn"
"no complaint",1378,38,87.9,65,"active","non-churn"
"no complaint",510,24,28.53,4,"non-active","non-churn"
"no complaint",635,9,46.1,1,"non-active","non-churn"
"no complaint",1035,31,92.97,10,"active","non-churn"
"no complaint",3035,60,123.8,20,"active","non-churn"
"no complaint",1505,25,154.35,11,"active","non-churn"
"no complaint",6202,140,627.39,39,"active","non-churn"
"no complaint",8742,170,382.8,37,"active","non-churn"
"no complaint",2662,44,196.24,16,"active","non-churn"
"no complaint",4200,39,993.56,7,"active","non-churn"
"no complaint",1297,18,52.6,4,"active","churn"
"no complaint",4370,65,199.575,16,"active","non-churn"
"no complaint",318,4,14.49,3,"non-active","non-churn"
"no complaint",2453,54,1692.315,23,"active","non-churn"
"no complaint",4198,60,234.19,34,"active","non-churn"
"no complaint",2393,52,134.475,32,"active","non-churn"
"no complaint",3775,76,281.295,27,"active","non-churn"
"no complaint",2360,33,1203.72,17,"active","non-churn"
"no complaint",9115,115,913.2,42,"active","non-churn"
"no complaint",13773,163,557.44,43,"active","non-churn"
"no complaint",4515,77,183.68,24,"active","non-churn"
"no complaint",5918,89,270.315,11,"active","non-churn"
"complaint",2238,48,91.44,16,"non-active","non-churn"
"no complaint",15140,219,798.36,31,"active","non-churn"
"no complaint",3095,21,2024.64,7,"active","non-churn"
"no complaint",15485,176,1343.745,29,"active","non-churn"
"no complaint",6500,80,975.2,25,"active","non-churn"
"no complaint",875,8,39.735,10,"non-active","non-churn"
"no complaint",710,8,54.81,7,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7508,121,2035.305,42,"active","non-churn"
"no complaint",11465,148,476.52,46,"active","non-churn"
"no complaint",6718,69,755.415,36,"active","non-churn"
"complaint",955,41,80.82,16,"non-active","churn"
"no complaint",10435,87,263.05,41,"active","non-churn"
"no complaint",5818,92,346.95,23,"active","churn"
"no complaint",2840,16,114.24,13,"active","non-churn"
"complaint",2990,35,140.625,15,"non-active","churn"
"complaint",2268,38,196.24,30,"non-active","churn"
"complaint",0,0,0,0,"non-active","churn"
"no complaint",1668,19,67.48,5,"active","non-churn"
"no complaint",6785,91,186.9,21,"active","non-churn"
"no complaint",628,1,18.225,3,"non-active","churn"
"no complaint",338,5,8.575,1,"active","non-churn"
"no complaint",16075,232,733.815,79,"active","non-churn"
"no complaint",6965,110,1501.875,32,"active","non-churn"
"no complaint",3718,76,170.73,27,"active","non-churn"
"no complaint",1665,38,188.12,19,"non-active","non-churn"
"no complaint",2780,47,878.715,22,"active","non-churn"
"no complaint",1315,30,893.025,10,"active","non-churn"
"no complaint",1568,33,95.025,67,"active","non-churn"
"no complaint",700,19,41.355,6,"non-active","non-churn"
"no complaint",825,4,53.225,2,"non-active","non-churn"
"no complaint",1225,26,105.795,12,"active","non-churn"
"no complaint",3225,55,131.2,22,"active","non-churn"
"no complaint",1695,20,167.175,13,"active","non-churn"
"no complaint",6392,135,782.485,41,"active","non-churn"
"no complaint",8932,165,389.925,39,"active","non-churn"
"no complaint",2852,39,207.64,18,"active","non-churn"
"no complaint",4390,34,1004.96,9,"active","non-churn"
"no complaint",1487,13,67.5,6,"active","churn"
"no complaint",4370,77,229.88,18,"active","non-churn"
"no complaint",318,11,73.16,5,"non-active","non-churn"
"no complaint",2453,66,1568.76,25,"active","non-churn"
"no complaint",4198,72,284.35,36,"active","non-churn"
"no complaint",2393,64,155.565,34,"active","non-churn"
"no complaint",3775,88,314.52,29,"active","non-churn"
"no complaint",2360,45,792.625,19,"active","non-churn"
"no complaint",9115,127,977.68,44,"active","non-churn"
"no complaint",13773,175,589.92,45,"active","non-churn"
"no complaint",4515,89,224.16,26,"active","non-churn"
"no complaint",5918,101,300.76,13,"active","non-churn"
"complaint",2238,60,155.92,18,"non-active","non-churn"
"no complaint",15140,231,862.84,33,"active","non-churn"
"no complaint",3095,33,1305.7,9,"active","non-churn"
"no complaint",15485,188,1416.285,31,"active","non-churn"
"no complaint",6500,92,1039.68,27,"active","non-churn"
"no complaint",875,20,76.275,12,"non-active","non-churn"
"no complaint",710,20,113.2,9,"non-active","non-churn"
"no complaint",0,0,36,0,"non-active","churn"
"no complaint",7508,133,1873.64,44,"active","non-churn"
"no complaint",11465,160,338.125,48,"active","non-churn"
"no complaint",6718,81,827.955,38,"active","non-churn"
"complaint",955,53,136.32,18,"non-active","churn"
"no complaint",10435,99,171.51,43,"active","non-churn"
"no complaint",5818,104,372.88,25,"active","non-churn"
"no complaint",2840,28,146.72,15,"active","non-churn"
"no complaint",2990,47,189.48,17,"non-active","churn"
"complaint",2268,50,162.95,32,"non-active","churn"
"no complaint",133,8,37.64,3,"non-active","churn"
"no complaint",1668,31,62.475,7,"active","non-churn"
"no complaint",6785,103,136.32,23,"active","non-churn"
"no complaint",628,13,58.525,5,"non-active","churn"
"no complaint",338,10,23.22,3,"active","non-churn"
"no complaint",16075,244,770.355,81,"active","non-churn"
"no complaint",6965,122,1399.48,34,"active","non-churn"
"no complaint",3718,88,192.24,29,"active","non-churn"
"no complaint",1665,50,157.875,21,"non-active","non-churn"
"no complaint",2780,59,951.255,24,"active","non-churn"
"complaint",1315,42,858.28,12,"active","churn"
"no complaint",1568,45,81.195,69,"active","non-churn"
"no complaint",700,31,101.24,8,"non-active","non-churn"
"no complaint",825,16,93.525,4,"non-active","non-churn"
"no complaint",1225,38,178.335,14,"active","non-churn"
"no complaint",3225,67,195.68,24,"active","non-churn"
"no complaint",1695,32,213.08,15,"active","non-churn"
"no complaint",6392,147,712.755,43,"active","non-churn"
"no complaint",8932,177,258.135,41,"active","non-churn"
"no complaint",2852,51,272.12,20,"active","non-churn"
"no complaint",4390,46,1069.44,11,"active","non-churn"
"complaint",1487,25,92.48,8,"active","churn"
"no complaint",5080,82,326.48,17,"active","non-churn"
"no complaint",1028,16,101.76,4,"non-active","non-churn"
"no complaint",3163,71,1597.36,24,"active","non-churn"
"no complaint",4908,77,323.675,35,"active","non-churn"
"no complaint",3103,69,187.74,33,"active","non-churn"
"no complaint",4485,93,343.12,28,"active","non-churn"
"no complaint",3070,50,1296.8,18,"active","non-churn"
"no complaint",9825,132,1006.28,43,"active","non-churn"
"no complaint",14483,180,618.52,44,"active","non-churn"
"no complaint",5225,94,252.76,25,"active","non-churn"
"no complaint",6628,106,329.36,12,"active","non-churn"
"no complaint",2948,65,184.52,17,"non-active","non-churn"
"complaint",15850,236,891.44,32,"active","non-churn"
"no complaint",3805,38,2117.72,8,"active","non-churn"
"no complaint",16195,193,1448.46,30,"active","non-churn"
"no complaint",7210,97,1068.28,26,"active","non-churn"
"no complaint",1585,25,108.45,11,"non-active","non-churn"
"no complaint",1420,25,141.8,8,"non-active","non-churn"
"no complaint",710,11,68.445,2,"non-active","churn"
"no complaint",8218,138,1902.24,43,"active","non-churn"
"no complaint",12175,165,356,47,"active","non-churn"
"no complaint",7428,86,860.13,37,"active","non-churn"
"complaint",1665,58,164.92,17,"non-active","churn"
"no complaint",11145,104,182.235,42,"active","non-churn"
"no complaint",6528,109,451.665,24,"active","non-churn"
"no complaint",3550,33,175.32,14,"active","non-churn"
"complaint",3700,52,218.08,16,"non-active","churn"
"complaint",2978,55,289.32,31,"non-active","churn"
"no complaint",843,13,66.24,2,"non-active","churn"
"no complaint",2378,36,80.35,6,"active","non-churn"
"no complaint",7495,108,147.045,22,"active","non-churn"
"complaint",1338,18,76.4,4,"non-active","churn"
"no complaint",1048,15,33.945,2,"active","non-churn"
"complaint",16785,249,802.53,80,"active","non-churn"
"complaint",7675,127,1428.08,33,"active","non-churn"
"no complaint",4428,93,220.84,28,"active","non-churn"
"no complaint",2375,55,281.2,20,"non-active","non-churn"
"no complaint",3490,64,983.43,23,"active","non-churn"
"no complaint",2025,47,886.88,11,"active","non-churn"
"no complaint",2278,50,153.2,68,"active","non-churn"
"no complaint",1410,36,129.84,7,"non-active","non-churn"
"no complaint",1535,21,111.4,3,"non-active","non-churn"
"no complaint",1935,43,210.51,13,"active","non-churn"
"no complaint",3935,72,224.28,23,"active","non-churn"
"no complaint",2405,37,271.89,14,"active","non-churn"
"no complaint",7102,152,744.93,42,"active","non-churn"
"no complaint",9642,182,268.86,40,"active","non-churn"
"no complaint",3562,56,300.72,19,"active","non-churn"
"no complaint",5100,51,1098.04,10,"active","non-churn"
"no complaint",2197,30,121.08,7,"active","churn"
"no complaint",3660,60,167.4,17,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",1743,49,1583.64,24,"active","non-churn"
"no complaint",3488,55,194.865,35,"active","non-churn"
"no complaint",1683,47,95.15,33,"active","non-churn"
"no complaint",3065,71,153.44,28,"active","non-churn"
"no complaint",1650,28,1107.12,18,"active","non-churn"
"no complaint",8405,110,816.6,43,"active","non-churn"
"no complaint",13063,158,528.84,44,"active","non-churn"
"no complaint",3805,72,155.08,25,"active","non-churn"
"no complaint",5208,84,238.14,12,"active","non-churn"
"no complaint",1528,43,62.84,17,"non-active","non-churn"
"no complaint",14430,214,701.76,32,"active","non-churn"
"no complaint",2385,16,1928.04,8,"active","non-churn"
"no complaint",14775,171,1235.07,30,"active","non-churn"
"no complaint",5790,75,878.6,26,"active","non-churn"
"no complaint",165,3,7.56,11,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",6798,116,1926.63,43,"active","non-churn"
"no complaint",10755,143,435.92,47,"active","non-churn"
"no complaint",6008,64,646.74,37,"active","non-churn"
"no complaint",245,36,12.645,17,"non-active","churn"
"no complaint",9725,82,245.175,42,"active","non-churn"
"no complaint",5108,87,238.275,24,"active","churn"
"no complaint",2130,11,85.64,14,"active","non-churn"
"complaint",2280,30,103.95,16,"non-active","churn"
"no complaint",1558,33,99.64,31,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",958,14,38.88,6,"active","non-churn"
"no complaint",6075,86,154.025,22,"active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"no complaint",15365,227,701.64,80,"active","non-churn"
"no complaint",6255,105,1393.2,33,"active","non-churn"
"no complaint",3008,71,138.555,28,"active","non-churn"
"no complaint",955,33,91.52,20,"non-active","non-churn"
"no complaint",2070,42,770.04,23,"active","non-churn"
"no complaint",605,25,784.35,11,"active","non-churn"
"no complaint",858,28,34.65,68,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",515,21,24.12,13,"active","non-churn"
"no complaint",2515,50,102.6,23,"active","non-churn"
"no complaint",985,15,58.5,14,"active","non-churn"
"no complaint",5682,130,649.66,42,"active","non-churn"
"no complaint",8222,160,329.55,40,"active","non-churn"
"no complaint",2142,34,111.04,19,"active","non-churn"
"no complaint",3680,29,908.36,10,"active","non-churn"
"no complaint",777,8,31.4,7,"active","churn"
"no complaint",4370,71,197.64,17,"active","non-churn"
"no complaint",318,5,46.035,4,"non-active","non-churn"
"no complaint",2453,60,1536.52,24,"active","non-churn"
"no complaint",4198,66,240.02,35,"active","non-churn"
"no complaint",2393,58,145.805,33,"active","non-churn"
"no complaint",3775,82,282.28,28,"active","non-churn"
"no complaint",2360,39,1235.96,18,"active","non-churn"
"no complaint",9115,121,945.44,43,"active","non-churn"
"no complaint",13773,169,557.68,44,"active","non-churn"
"no complaint",4515,83,191.92,25,"active","non-churn"
"no complaint",5918,95,268.52,12,"active","non-churn"
"complaint",2238,54,123.68,17,"non-active","non-churn"
"no complaint",15140,225,830.6,32,"active","non-churn"
"no complaint",3095,27,2056.88,8,"active","non-churn"
"no complaint",15485,182,1380.015,30,"active","non-churn"
"no complaint",6500,86,1007.44,26,"active","non-churn"
"no complaint",875,14,40.005,11,"non-active","non-churn"
"no complaint",710,14,80.96,8,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7508,127,2071.575,43,"active","non-churn"
"no complaint",11465,154,317.975,47,"active","non-churn"
"no complaint",6718,75,791.685,37,"active","non-churn"
"no complaint",955,47,117.09,17,"non-active","churn"
"complaint",10435,93,159.42,42,"active","non-churn"
"no complaint",5818,98,383.22,24,"active","churn"
"no complaint",2840,22,114.48,14,"active","non-churn"
"complaint",2990,41,157.24,16,"non-active","churn"
"no complaint",2268,44,228.48,31,"non-active","churn"
"no complaint",133,2,5.4,2,"non-active","churn"
"no complaint",1668,25,67.72,6,"active","non-churn"
"no complaint",6785,97,124.23,22,"active","non-churn"
"no complaint",628,7,38.375,4,"non-active","churn"
"no complaint",338,4,11.13,2,"active","non-churn"
"no complaint",16075,238,734.085,80,"active","non-churn"
"no complaint",6965,116,1538.145,33,"active","non-churn"
"no complaint",3718,82,180,28,"active","non-churn"
"no complaint",1665,44,220.36,20,"non-active","non-churn"
"no complaint",2780,53,914.985,23,"active","non-churn"
"complaint",1315,36,929.295,11,"active","churn"
"no complaint",1568,39,115.175,68,"active","non-churn"
"no complaint",700,25,77.625,7,"non-active","non-churn"
"no complaint",825,10,73.375,3,"non-active","non-churn"
"no complaint",1225,32,142.065,13,"active","non-churn"
"no complaint",3225,61,163.44,23,"active","non-churn"
"no complaint",1695,26,203.445,14,"active","non-churn"
"no complaint",6392,141,676.485,42,"active","non-churn"
"no complaint",8932,171,410.075,40,"active","non-churn"
"no complaint",2852,45,239.88,19,"active","non-churn"
"no complaint",4390,40,1037.2,10,"active","non-churn"
"no complaint",1487,19,60.24,7,"active","churn"
"no complaint",4370,71,197.64,17,"active","non-churn"
"no complaint",318,5,46.035,4,"non-active","non-churn"
"no complaint",2453,60,1536.52,24,"active","non-churn"
"no complaint",4198,66,240.02,35,"active","non-churn"
"no complaint",2393,58,145.805,33,"active","non-churn"
"no complaint",3775,82,282.28,28,"active","non-churn"
"no complaint",2360,39,1235.96,18,"active","non-churn"
"no complaint",9115,121,945.44,43,"active","non-churn"
"no complaint",13773,169,557.68,44,"active","non-churn"
"no complaint",4515,83,191.92,25,"active","non-churn"
"no complaint",5918,95,268.52,12,"active","non-churn"
"complaint",2238,54,123.68,17,"non-active","non-churn"
"no complaint",15140,225,830.6,32,"active","non-churn"
"no complaint",3095,27,2056.88,8,"active","non-churn"
"no complaint",15485,182,1380.015,30,"active","non-churn"
"no complaint",6500,86,1007.44,26,"active","non-churn"
"no complaint",875,14,40.005,11,"non-active","non-churn"
"no complaint",710,14,80.96,8,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7508,127,2071.575,43,"active","non-churn"
"no complaint",11465,154,317.975,47,"active","non-churn"
"no complaint",6718,75,791.685,37,"active","non-churn"
"complaint",955,47,117.09,17,"non-active","churn"
"no complaint",10435,93,159.42,42,"active","non-churn"
"complaint",5818,98,383.22,24,"active","churn"
"no complaint",2840,22,114.48,14,"active","non-churn"
"no complaint",2990,41,157.24,16,"non-active","churn"
"no complaint",2268,44,228.48,31,"non-active","churn"
"no complaint",133,2,5.4,2,"non-active","churn"
"no complaint",1668,25,67.72,6,"active","non-churn"
"no complaint",6785,97,124.23,22,"active","non-churn"
"no complaint",628,7,38.375,4,"non-active","churn"
"no complaint",338,4,11.13,2,"active","non-churn"
"complaint",16075,238,734.085,80,"active","non-churn"
"no complaint",6965,116,1538.145,33,"active","non-churn"
"no complaint",3718,82,180,28,"active","non-churn"
"no complaint",1665,44,220.36,20,"non-active","non-churn"
"no complaint",2780,53,914.985,23,"active","non-churn"
"no complaint",1315,36,929.295,11,"active","non-churn"
"no complaint",1568,39,115.175,68,"active","non-churn"
"no complaint",700,25,77.625,7,"non-active","non-churn"
"no complaint",825,10,73.375,3,"non-active","non-churn"
"no complaint",1225,32,142.065,13,"active","non-churn"
"no complaint",3225,61,163.44,23,"active","non-churn"
"no complaint",1695,26,203.445,14,"active","non-churn"
"no complaint",6392,141,676.485,42,"active","non-churn"
"no complaint",8932,171,410.075,40,"active","non-churn"
"no complaint",2852,45,239.88,19,"active","non-churn"
"no complaint",4390,40,1037.2,10,"active","non-churn"
"complaint",1487,19,60.24,7,"active","churn"
"no complaint",4065,65,185.85,15,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2148,54,1683.09,22,"active","non-churn"
"no complaint",3893,60,217.415,33,"active","non-churn"
"no complaint",2088,52,117.7,31,"active","non-churn"
"no complaint",3470,76,272.07,26,"active","non-churn"
"no complaint",2055,33,1195.52,16,"active","non-churn"
"no complaint",8810,115,905,41,"active","non-churn"
"no complaint",13468,163,545.24,42,"active","non-churn"
"no complaint",4210,77,171.48,23,"active","non-churn"
"no complaint",5613,89,256.59,10,"active","non-churn"
"no complaint",1933,48,83.24,15,"non-active","non-churn"
"no complaint",14835,219,790.16,30,"active","non-churn"
"no complaint",2790,21,2016.44,6,"active","non-churn"
"no complaint",15180,176,1334.52,28,"active","non-churn"
"no complaint",6195,80,967,24,"active","non-churn"
"no complaint",570,8,26.01,9,"non-active","non-churn"
"no complaint",405,8,45.585,6,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7203,121,2026.08,41,"active","non-churn"
"no complaint",11160,148,468.32,45,"active","non-churn"
"no complaint",6413,69,746.19,35,"active","non-churn"
"no complaint",650,41,71.595,15,"non-active","churn"
"no complaint",10130,87,255.425,40,"active","non-churn"
