"alcohol","density","free.sulfur.dioxide","residual.sugar","volatile.acidity","total.sulfur.dioxide","quality"
9.6,0.993,33,1.4,0.19,135,1
9,0.9993,59,16.8,0.46,222,0
9,0.9965,50,8.9,0.26,171,0
10.4,0.9937,22,6.6,0.32,141,1
11.4,0.9913,3,1.1,0.24,64,0
9.3,0.9934,27,1.4,0.36,128,0
11,0.9952,49,13.3,0.24,130,1
9.1,0.9983,22,10.4,0.56,177,0
9.4,0.9957,31,6.2,0.32,228,1
9.4,0.9957,31,6.2,0.32,228,1
10.5,0.9916,23,1.2,0.31,99,1
8.8,0.9999,35,18.05,0.23,144,0
8.8,0.9999,35,18.05,0.23,144,0
10.7,0.9936,16,4.8,0.24,131,1
9.5,0.9972,45,12.6,0.29,187,0
10.9,0.9933,46,4.5,0.17,150,1
10.8,0.9934,34,4.5,0.14,140,1
10.8,0.9931,39,4.7,0.17,133,1
9.2,0.9976,25,11.9,0.28,148,0
10.3,0.9937,48,5,0.35,198,0
10.3,0.9937,49,5.8,0.335,197,0
11,0.991,33,1.2,0.235,127,1
9,0.9979,34,12.9,0.28,189,0
10.4,0.9971,68,13.9,0.21,179,1
9.5,0.9969,34,11.5,0.24,163,0
9.5,0.9968,32,11.4,0.24,166,0
9,0.9961,44,7.8,0.26,166,0
9.5,0.993,7,1.1,0.33,151,0
9,0.9973,57,12.2,0.105,146,1
10,0.9944,34,5.9,0.32,190,0
9.1,0.9986,35,14.4,0.26,189,1
9.1,0.9986,35,14.4,0.26,189,1
9.1,0.9986,35,14.4,0.26,189,1
9.1,0.9986,35,14.4,0.26,189,1
9.5,0.9972,34,12.3,0.24,134,1
11.4,0.9917,70,2.5,0.21,138,1
12.2,0.992,30,5.3,0.27,117,1
11.3,0.9932,27,4.9,0.27,95,1
10.2,0.9936,14,3.2,0.34,136,0
11.3,0.9915,41,3.1,0.27,188,0
10,0.9922,122.5,1.4,0.29,234.5,0
9.4,0.9934,12,1.9,0.28,86,0
12.2,0.9952,47,14,0.25,133,1
9.2,0.9972,23,8.3,0.57,188,0
9.4,0.9934,12,1.9,0.28,86,0
9.6,0.9958,49,7.4,0.17,182,1
9.5,0.9944,24,1.4,0.28,130,0
12.5,0.9908,38,1.7,0.22,195,1
9.6,0.9958,49,7.4,0.17,182,1
10,0.9925,37,1.3,0.14,173,1
9.3,0.9966,60,11.6,0.24,211,0
9.3,0.9972,34,9.2,0.42,199,1
11.6,0.9912,22,1.7,0.28,101,1
12.5,0.995,46,14.5,0.32,150,1
10.6,0.9928,18,2.1,0.31,130,1
9.4,0.9968,57,10.7,0.32,206,0
9.1,0.9955,44,6.9,0.28,201,1
9,0.9981,48,12,0.29,224,1
11.8,0.991,23,4.75,0.32,94,1
11.8,0.991,23,4.75,0.32,94,1
11.8,0.991,23,4.75,0.32,94,1
10,0.992,64,1.4,0.28,159,0
9.7,0.9931,12,1.3,0.34,171,0
9.5,0.997,30,11.3,0.25,165,1
9.4,0.9948,61,4.5,0.27,174,0
11.2,0.9923,50,1.7,0.46,183,0
9,0.9976,54,13.2,0.36,201,0
10.7,0.9938,21,5.5,0.22,114,1
9,0.9984,22,13,0.67,193,0
9.1,0.9972,61,10.7,0.28,222,1
10.8,0.9922,34,2,0.17,125,1
10.1,0.9935,25,1.9,0.2,136,0
9.9,0.9944,36,6.4,0.36,198,1
9.8,0.9942,36,6.3,0.36,191,0
9.8,0.9944,34,6.3,0.37,185,0
9.5,0.9997,51,17.5,0.29,225,1
9.5,0.9977,49,14.7,0.34,198,0
11.1,0.9912,22,1,0.19,94,1
9.5,0.9982,62,14.8,0.31,204,0
9.5,0.9982,62,14.8,0.31,204,0
9.4,0.9983,62,14.2,0.31,204,0
9.7,0.998,29,13.1,0.4,197,0
13.9,0.9894,19,2.4,0.34,135,1
10.1,0.9927,20,1.2,0.38,84,0
10.5,0.9917,30,1.1,0.33,110,1
12.6,0.9904,18,3.6,0.25,115,1
10.9,0.993,13,6.1,0.27,41,0
10,0.9941,50,6.3,0.31,218,0
11.2,0.9943,57,4.4,0.18,166,1
10,0.99855,44,13.9,0.2,130,1
9.2,0.99345,13,1,0.47,98,0
9.5,0.998,51,12.1,0.25,172,0
12.3,0.9916,31,1.6,0.27,128,1
12.3,0.9916,31,1.6,0.27,128,1
10,0.99475,57,7.5,0.31,213,0
10.8,0.99325,39,2.7,0.39,187,1
10.5,0.9933,41,1.7,0.21,150,1
9.2,0.9969,22,9.2,0.42,221,1
9.1,1.0002,34,18.75,0.27,157,0
10.5,0.9933,41,1.7,0.21,150,1
10.2,0.9937,35,1.8,0.29,127,1
8.9,0.99685,62,9,0.29,178,0
10.4,0.99455,15,1.5,0.3,182,0
11.7,0.9917,23,1.6,0.31,128,1
12.4,0.99035,29,1.3,0.33,89,1
10.9,0.9914,23,1.8,0.3,122,1
10.2,0.99225,35,1.2,0.39,136,0
11.7,0.99155,41,2.8,0.24,114,1
9.4,0.9954,19,8,0.21,101,0
10.5,0.99455,42,5.3,0.16,157,0
9.4,0.9924,12,0.8,0.33,188,0
10.4,0.99695,25,13.8,0.23,139,1
9.5,0.99655,78,10,0.25,240,1
11.1,0.9934,14,6,0.28,49,1
9.1,0.998,40,14.4,0.25,183,1
9.2,0.9971,28,9.8,0.38,191,0
9.6,0.9948,15,5.5,0.25,129,1
9.1,0.998,40,14.4,0.25,183,1
9.2,0.9971,28,9.8,0.38,191,0
10.8,0.99215,40,3.8,0.21,142,1
9.6,0.9948,15,5.5,0.25,129,1
12.6,0.9915,5,4.6,0.39,19,0
11,0.99115,21,1.5,0.2,57,1
10.2,0.9932,26,2,0.2,136,1
9.4,0.9977,38,12.5,0.26,152,0
10,0.99535,24,7.5,0.38,160,0
12.2,0.99165,34,2.1,0.2,113,1
10.5,0.9953,31,8.5,0.21,253,1
11.5,0.9928,56,7.6,0.29,177,1
9.8,0.9958,44,8.1,0.18,176,1
11.4,0.9928,51,7.35,0.3,175,1
11.5,0.9928,56,7.6,0.29,177,1
10.2,0.9964,78,10,0.2,167,1
9.4,0.9987,83,14,0.2,160,1
10.5,0.9953,31,8.5,0.21,253,1
9.1,0.9932,14,2.2,0.35,138,0
12.2,0.9907,32,1.8,0.28,107,1
9.5,0.99755,45,11.1,0.25,175,0
9.3,0.99935,68,15.2,0.22,178,1
9.8,0.9932,55,1.2,0.14,136,1
9.8,0.9932,54,1.2,0.13,134,1
9.8,0.9958,44,8.1,0.18,176,1
9.8,0.99585,42,8.1,0.2,173,1
8.7,1.00055,55,19.3,0.24,247,0
10.2,0.9985,38,18.6,0.44,128,1
9.5,0.99505,36,5,0.3,168,1
11,0.992,35,1.6,0.27,135,1
9.2,0.9988,81,13.4,0.5,238,0
10.9,0.99175,7,1.6,0.2,46,1
9.3,0.9962,41,8.8,0.11,113,1
9.3,0.9962,41,8.8,0.11,113,1
9.8,0.9942,29,5.2,0.12,120,1
9.3,0.9927,58,1.1,0.16,140,1
9.3,0.9927,61,1.1,0.21,144,1
9.4,0.99985,49,16.7,0.27,172,0
10.4,0.997,28,10.6,0.27,124,1
12.1,0.9918,29,2.2,0.225,104,1
11,0.99215,18,1.5,0.14,98,1
9,0.99865,47,13.7,0.23,197,0
9.5,0.9992,59,15,0.22,178,1
8.8,1.0006,43,14.1,0.17,145,1
11.2,0.99135,7,1.4,0.395,55,0
9.3,0.99715,44,9.5,0.29,213,1
9.5,0.9992,59,15,0.22,178,1
8.8,1.0006,43,14.1,0.17,145,1
9,0.99865,47,13.7,0.23,197,0
9.3,0.99815,31,10.6,0.3,119,1
9.2,0.99815,31,11,0.34,117,1
9.2,0.99815,31,11,0.34,117,1
10,0.9949,26,7,0.34,116,1
9.3,0.99815,31,10.6,0.3,119,1
9.2,0.99815,31,11,0.34,117,1
10.9,0.99225,28,2,0.24,92,1
10,0.99445,34,4.9,0.46,144,0
10.9,0.99225,28,2,0.24,92,1
9.3,0.99335,38,1.4,0.32,173,0
9,0.99625,37,7.3,0.31,157,0
9.2,0.9971,42,8.8,0.42,215,1
9.6,0.9983,47,12.5,0.24,153,1
9.4,0.99445,30,4.8,0.18,113,1
11.1,0.99085,14,1.4,0.18,75,1
8.9,0.9977,44,11.2,0.27,161,1
9.3,0.9953,61,6.8,0.28,222,0
9.3,0.99775,57,11.6,0.39,220,0
9.8,0.99795,46,11.4,0.21,165,1
9.8,0.99505,24,6.6,0.32,112,1
8.9,0.9977,44,11.2,0.27,161,1
9.6,0.9975,57,13.2,0.31,205,0
9.6,0.99745,55,13.1,0.29,204,1
9,0.9976,65,12,0.39,246,1
9.5,0.99775,57,13.4,0.3,206,1
9.3,0.9953,61,6.8,0.28,222,0
9.2,0.9932,17,1.5,0.41,120,1
9.1,0.99405,9,1.1,0.35,160,1
9.5,1,44,16.5,0.26,166,1
10.5,0.99785,44,15.6,0.35,229,1
9,0.9939,24,2.8,0.3,125,0
11.7,0.9939,7,5.1,0.18,77,0
9.1,0.99675,27,8.9,0.56,133,0
9,0.9939,24,2.8,0.3,125,0
9.1,0.99675,27,8.9,0.56,133,0
12.4,0.98965,24,1.6,0.36,85,1
9.2,0.9971,28,10.2,0.655,212,1
9.4,0.99445,34,5.4,0.18,104,0
9.6,0.9945,36,6.2,0.19,117,1
11.7,0.9939,7,5.1,0.18,77,0
9.8,0.9958,36,7.2,0.21,167,1
10.2,0.9956,24,8.1,0.25,155,1
12.5,0.99055,27,2,0.24,139,1
10.9,0.9959,20,10.7,0.16,90,1
11,0.9925,21,1.2,0.16,90,1
10.5,0.9963,34,1.7,0.205,110,1
11.5,0.9935,34,5.5,0.17,161,0
12.8,0.99105,34,2.7,0.3,108,1
12.2,0.99045,27,1.3,0.25,82,1
10.5,0.9963,34,1.7,0.205,110,1
12.8,0.99155,34,4.3,0.42,108,1
11.9,0.99085,30,2.1,0.25,177,1
11.9,0.99085,30,2.1,0.25,177,1
11.9,0.99085,30,2.1,0.25,177,1
12,0.9924,12,6,0.34,126,1
12,0.9924,12,6.3,0.33,126,1
8.8,0.99975,35,13.4,0.23,169,1
8.8,0.99975,35,13.4,0.23,169,1
10.8,0.99315,33,1.7,0.19,101,1
11,0.9917,29,1.6,0.21,118,1
11,0.9917,29,1.6,0.21,118,1
9.3,0.99845,62,15.4,0.22,153,0
10.8,0.9921,17,1.2,0.34,73,0
8.8,0.99975,35,13.4,0.23,169,1
11.5,0.9909,30,1.8,0.2,105,1
10.8,0.99315,33,1.7,0.19,101,1
9.4,0.99855,58,13.6,0.38,166,0
9.5,0.9934,40,1.3,0.18,117,1
8.6,0.9978,41,11.1,0.34,151,0
9.5,0.9934,40,1.3,0.18,117,1
10.3,0.9949,30,2.1,0.2,116,1
9.4,0.99855,58,13.6,0.38,166,0
9.4,0.9986,59,13.7,0.4,169,0
10,0.99725,60,10.2,0.22,149,1
9.4,0.9946,60,4.8,0.3,166,0
10.4,0.99255,38,1.7,0.27,103,1
9.1,0.9996,57,14.2,0.25,182,1
9.9,0.9939,33,6.5,0.34,163,1
12.1,0.99,24,1.7,0.28,111,1
9.9,0.9937,34,6.5,0.33,163,0
12.5,0.9886,26,2.2,0.27,117,1
9.5,0.9934,40,1.3,0.18,117,1
8.5,1,41,12.6,0.18,143,1
9,0.9994,49,14.4,0.28,173,1
10.1,0.9926,37,1.2,0.24,97,1
9.4,0.9956,11,9.7,0.45,159,0
8.6,0.9978,41,11.1,0.34,151,0
10.7,0.9915,24,4,0.26,125,1
9.6,0.9939,5,1.4,0.17,33,0
10.1,0.9932,10,1.3,0.15,64,0
10,0.993,28,2.2,0.21,141,1
12.7,0.9898,57,4.2,0.36,119,1
10.2,0.9921,33,1.6,0.28,104,1
8.9,0.9932,37,1.4,0.16,110,1
11.9,0.9919,18,2.2,0.12,111,1
10,0.993,28,2.2,0.21,141,1
9.9,0.9953,9,1.9,0.36,121,1
11.5,0.9928,22,6,0.26,125,1
11.5,0.9928,22,6,0.26,125,1
9.8,0.9976,38,12.2,0.23,236,1
12.2,0.9906,20,2.6,0.34,105,1
11.4,0.9918,39,1.6,0.26,173,1
11,0.99185,34,2,0.3,90,1
11.4,0.9918,39,1.6,0.26,173,1
11,0.99185,34,2,0.3,90,1
9.9,0.994,43,6.4,0.31,166,1
11,0.9908,40,1.2,0.26,114,1
9.4,0.9928,38,1,0.26,114,0
12.2,0.9896,33,1.4,0.31,128,1
11,0.9908,40,1.2,0.26,114,1
10.3,0.9918,17,1.1,0.19,67,1
10.5,0.9952,52,8.7,0.18,242,1
10.5,0.9923,12,1.6,0.29,87,1
10.9,0.9915,13,1.4,0.26,67,1
10.5,0.9952,52,8.5,0.18,242,1
11,0.9947,30,7.9,0.2,145,1
9.7,0.9983,26,13.2,0.29,113,1
8.9,0.9975,63,12.8,0.28,229,0
9.6,0.995,60,7.7,0.31,206,1
8.8,0.9944,49,2.4,0.21,159,1
11.1,0.994,9,1.6,0.19,101,0
10.3,0.9944,8,1.3,0.27,72,0
12.2,0.9908,30,2.1,0.25,124,1
9.8,0.99795,23,9.6,0.23,159,0
8.8,0.9985,46,13,0.24,217,0
9.9,0.99425,24,5.8,0.33,144,0
9.9,0.99425,22,5.6,0.33,143,0
9.9,0.9943,22,5.8,0.34,145,0
9.2,0.9924,11,0.8,0.29,30,0
9.5,0.9946,11.5,1.2,0.32,88,0
9.2,0.9924,11,0.8,0.29,30,0
10.3,0.995,36,4.7,0.13,137,1
11,0.9919,23,1.6,0.3,124,1
11.9,0.99,27,1.4,0.24,107,1
10.2,0.9923,20,1.1,0.18,107,1
9.4,0.9956,59,4.6,0.11,144,1
8.9,0.9978,56,10.6,0.32,153,1
8.9,0.9978,56,10.6,0.32,153,1
10,0.9967,69,12.9,0.26,215,1
10.7,0.9934,50,2,0.28,152,1
9.8,0.9936,13,2.9,0.27,100,0
9.3,0.9932,26,2.8,0.595,80,0
9.5,0.9934,52,2.9,0.25,173,1
10,0.998,47,12,0.25,179,0
9,0.9978,42,15,0.36,115,0
11.9,0.9929,21,5.9,0.17,84,1
8.9,0.9974,64,12.6,0.26,230,0
10,0.99685,80,12.5,0.26,225,1
9.6,0.99495,58,7.4,0.29,205,0
8.9,0.99745,64,13,0.28,233,0
8.9,0.99505,61,6.7,0.27,230,0
11.4,0.992,10,1.4,0.43,67,0
9,0.9978,42,15,0.36,115,0
10,0.9956,56,7.3,0.35,244,1
9.6,0.9982,39,15.3,0.24,194,1
9.7,0.99485,40,7.5,0.34,197,0
9.5,0.9971,61,11.75,0.27,212,1
10,0.99265,27,1.6,0.415,88,1
12.2,0.9904,31,3.5,0.48,135,1
8.7,0.9965,16,8,0.18,131,1
10.2,0.9946,28,5,0.15,105,1
9.6,0.99965,55,18.2,0.345,205,0
10,0.9935,24,1.6,0.16,147,0
9.5,0.996,10,3.2,0.705,57,0
11.5,0.9942,8,6.4,0.25,84,0
9.5,0.9936,15,1.9,0.345,134,0
9.8,0.9965,26,9.7,0.22,143,1
10.1,0.9928,14,1.4,0.17,99,1
10,0.9928,39,1.3,0.23,117,0
9.8,0.9965,26,9.7,0.22,143,1
9.5,0.9936,15,1.9,0.345,134,0
9.5,0.9938,13,1.8,0.32,133,0
10.2,0.9926,25,0.9,0.23,79,1
10.2,0.9926,25,1.1,0.2,78,1
9,0.9983,38,15.4,0.24,174,1
9,0.9983,38,15.4,0.24,174,1
12.3,0.992,34,5,0.42,101,1
9,0.9983,38,15.4,0.24,174,1
11.6,0.9923,23,4,0.19,112,1
9.5,0.9972,36,12.5,0.26,152,1
11.5,0.9928,14,3.2,0.23,101,0
9.6,0.9928,43,1.8,0.34,188,1
9,0.9994,38,17.5,0.22,153,1
12,0.991,23,1.9,0.08,93,1
11.4,0.9906,18,1.6,0.42,68,1
12.3,0.9894,25,1.5,0.42,102,1
12.6,0.9898,24,1.7,0.27,110,1
9,0.9994,38,17.5,0.22,153,1
12,0.991,23,1.9,0.08,93,1
11.7,0.9925,14,1.8,0.13,114,1
9.2,0.9956,22,4.3,0.3,111,0
10.3,0.9946,47,4.9,0.13,131,1
8.6,0.9966,53,7.6,0.14,189,0
10.7,0.9951,32,6.7,0.28,155,1
9.8,0.9927,10,1.6,0.2,54,0
9.8,0.9927,9,1.5,0.19,55,1
10.7,0.9951,32,6.7,0.28,155,1
12.5,0.9894,15,1.7,0.39,72,1
11.9,0.9907,21,4.2,0.36,77,1
10.8,0.9925,63,1.6,0.19,149,0
10.5,0.9928,29,1.9,0.41,122,1
10.3,0.9941,44,5.3,0.28,161,1
10.3,0.9941,45,5.2,0.3,163,1
10.8,0.9925,63,1.6,0.19,149,0
12,0.9935,8,8.9,0.28,117,1
10.2,0.9932,41,3.4,0.16,143,1
10.2,0.9944,7,1.3,0.26,69,0
9.9,0.9972,75,15.2,0.25,217,0
10.1,0.994,9,1.3,0.24,62,0
9.5,0.9956,24,1.8,0.18,187,1
10.5,0.9927,27,1.6,0.27,154,1
10.4,0.9924,6,1.3,0.26,29,0
9.5,0.9966,33,9.8,0.24,152,1
9.2,0.9997,43,17.45,0.24,184,1
10.1,0.9936,47,2.1,0.21,165,1
9.8,0.9936,16,1.8,0.19,84,1
9.4,0.9952,61,6.8,0.28,216,0
9.4,0.9952,60,7.1,0.28,221,1
10.4,0.9928,18,1.3,0.24,136,1
11.3,0.9911,40,3.3,0.36,153,1
10.8,0.993,18,3.3,0.18,91,1
11.3,0.9911,40,3.3,0.36,153,1
9.3,0.9932,30,2.7,0.52,79,0
10.3,0.993,45,1.2,0.22,199,1
10.5,0.993,32,1.3,0.15,146,1
10.3,0.9932,25,1.4,0.16,109,1
11.2,0.9932,60,1.7,0.16,173,1
10.3,0.9943,31,1.7,0.16,98,1
9.5,0.9968,62,11.6,0.25,210,0
8.9,0.9994,63,12.6,0.16,162,0
10.2,0.9926,19,2.8,0.39,113,0
9.2,0.9968,44,11.2,0.37,136,0
10.3,0.9932,25,1.4,0.16,109,1
10.5,0.9916,47,1.4,0.18,157,1
9.5,0.9946,56,1.5,0.14,189,1
11.4,0.9925,35,1.5,0.2,125,1
11.4,0.9925,35,1.5,0.2,125,1
11.1,0.9935,54,7.05,0.19,188,1
10.5,0.9962,48,10.6,0.19,174,1
12,0.9928,23,2.8,0.34,185,1
9.7,0.993,38,1.6,0.15,123,1
10.2,0.993,47,1.6,0.14,140,1
9.5,0.9956,13,8.2,0.55,60,0
10.4,0.9941,51,1.5,0.24,128,1
9.3,0.9972,50,11,0.6,245,0
10.5,0.9948,24,2.1,0.2,166,1
10,0.9955,45,7.6,0.34,232,1
10.2,0.9972,44.5,6.8,0.3,234,1
10.2,0.9972,44.5,6.8,0.3,234,1
9.1,0.9983,33,10.6,0.64,227,0
10.2,0.9942,39,1.8,0.17,148,1
10.7,0.9936,18,1.5,0.17,75,0
9.7,0.9956,11,6,0.47,77,0
9.3,0.9953,33,5.3,0.15,104,1
11,0.9918,13,1.4,0.17,102,0
10.8,0.995,17,2.1,0.68,138,0
10.7,0.992,19,1,0.275,75,0
10.7,0.9952,18,5.2,0.49,104,0
8.8,1.001,55,19.45,0.33,243,0
10.9,0.9924,23,1.6,0.21,94,1
10.5,0.9932,24,2,0.15,92,0
10,0.9937,23,1.3,0.19,107,0
10.4,0.9918,5,1.7,0.31,61,0
9.2,0.9934,15,1.1,0.4,75,0
12.6,0.991,36,4.7,0.37,116,1
9,0.9962,29,7.5,0.24,152,0
9.2,0.9932,52,1.1,0.21,123,1
11.3,0.9908,18,1.3,0.29,86,0
10.3,0.9962,17,2.2,0.29,119,0
10.4,0.9918,5,1.7,0.31,61,0
10,0.9941,29,2.2,0.26,111,0
10.7,0.9931,26,1.2,0.21,111,1
9,0.9981,35,10,0.51,197,0
10.7,0.9931,26,1.2,0.21,111,1
8.7,0.9944,48,1.1,0.3,166,0
11.6,0.992,30,2,0.26,121,1
9.4,0.9966,45,7.5,0.21,185,0
9.5,0.9956,35.5,4,0.26,216,0
9.5,0.9956,36,4.1,0.26,202,0
10.9,0.9949,48,1.9,0.26,159,1
9.7,1.0002,32,14.8,0.22,126,0
9.1,0.9942,62,5.5,0.3,172,1
11.1,0.9923,33,2.6,0.19,125,1
12.6,0.9917,9,6.35,0.33,87,1
11,0.9931,38,1.5,0.2,147,1
11.3,0.992,32,1.6,0.37,166,1
9.7,1.0002,32,14.8,0.22,126,0
10.9,0.9953,28,9.1,0.29,118,1
10.9,0.9951,25,8,0.34,192,0
9.3,0.9974,27,12,0.55,186,1
12.7,0.9904,28,3.2,0.4,124,1
10.1,0.9974,42,7.7,0.28,180,1
10,0.9944,43,1.3,0.26,132,0
9.8,1.0004,56,16.3,0.26,197,0
10.1,0.9952,29,6.2,0.34,227,1
9,0.9956,31,4.7,0.15,118,1
9.4,0.995,52,5.8,0.27,155,1
9.4,0.995,52,5.8,0.27,155,1
9.2,0.9995,43,16.95,0.2,190,1
10.1,0.9942,29,5.1,0.23,142,1
8.6,0.9977,58,10.2,0.31,160,0
11.2,0.992,21,3.8,0.24,128,1
11.2,0.992,39,1.3,0.24,123,1
9.2,0.9995,43,16.95,0.2,190,1
10.6,0.9934,17,4,0.17,127,1
9.3,1.0006,62,17.1,0.21,213,1
8.9,0.9982,35,14.5,0.21,178,1
10.6,0.9928,24,1.2,0.21,156,1
10.6,0.9945,29,6.7,0.17,132,1
8.8,0.9963,52,8.4,0.24,183,0
11,0.9906,25,1.3,0.24,97,1
10.2,0.9956,44,8.8,0.28,139,1
10.1,0.9942,29,5.1,0.23,142,1
10.1,0.9962,32,10.6,0.29,120,1
14,0.9894,12,2.6,0.29,120,1
9.4,0.995,52,5.8,0.27,155,1
11.8,0.9908,45,2.8,0.17,107,1
11.4,0.9914,59,1.6,0.16,148,0
10.7,0.9938,6,6.7,0.29,117,0
8.6,0.9977,58,10.2,0.31,160,0
11.5,0.9922,25,4.9,0.32,191,1
11.2,0.992,21,3.8,0.24,128,1
12.6,0.9903,27,2,0.37,87,1
12.6,0.9893,13,1.7,0.29,76,1
9.3,0.9952,18,2.4,0.22,151,0
12.6,0.9903,27,2,0.37,87,1
12.1,0.9912,15,1.3,0.18,96,1
9.9,0.9983,55,12,0.22,177,1
10.7,0.9937,22,1.6,0.18,102,0
10,0.9932,5,1.4,0.52,26,0
10.4,0.9928,33,2.2,0.15,96,1
10.5,0.9922,11,1.4,0.415,64,0
9.7,0.9976,33,8.3,0.45,216,0
10.5,0.9922,11,1.4,0.415,64,0
9,0.9974,26,12.9,0.5,138,0
9.2,0.998,34,12.4,0.105,106,1
10.1,0.9931,30,1.6,0.4,117,1
11.4,0.9911,40,1.45,0.25,89,1
10.8,0.9944,11,1.6,0.36,124,0
10.9,0.9937,19,1.5,0.23,135,0
9.2,0.9974,33,13,0.55,182,1
12.9,0.989,73,1.95,0.115,166,1
12,0.992,24,5.85,0.125,99,1
9.5,0.9928,21,1.3,0.1,100,0
11.8,0.9918,33,5.3,0.25,117,1
9.1,0.9936,36,1.2,0.2,159,1
9.7,0.9944,24,4,0.23,128,1
9.1,0.9988,28,14.35,0.39,162,0
10,0.994,27,2.3,0.22,114,0
10.4,0.9953,19,4.7,0.41,127,0
9.5,0.9986,30,12.85,0.25,161,1
12.3,0.9914,70,5.2,0.26,178,1
11.7,0.9934,70,8.4,0.31,170,1
9.5,0.996,39,3.2,0.28,133,0
11.5,0.9937,26,6.9,0.31,91,0
10.6,0.9921,17,1,0.16,57,1
10.2,0.998,30,7.3,0.34,146,0
9.5,0.996,39,3.2,0.28,133,0
10.5,0.9933,27,1.6,0.24,131,0
10.5,0.9933,27,1.5,0.25,132,0
8.9,0.9959,71,7.5,0.32,223,0
10.6,0.9936,15,1.1,0.27,151,0
9.5,0.9953,12,1.3,0.34,188,0
10.8,0.9938,29,5.7,0.17,111,1
9.5,0.9952,61,7.2,0.25,220,0
8.9,0.9959,69,7.6,0.32,219,0
8.9,0.9959,71,7.5,0.32,223,0
9.4,0.9937,24,1.3,0.6,79,0
10.6,0.992,26,1.3,0.395,102,1
9,0.9967,37,4.8,0.16,171,0
10.5,0.9944,26,2.1,0.33,172,0
9,0.9998,23,16.85,0.3,135,1
9,0.9998,23,16.85,0.3,135,1
9.4,0.9942,73.5,4.1,0.26,189.5,1
9,0.9998,23,16.85,0.3,135,1
9.6,0.9945,50,1.3,0.14,153,1
9,0.9998,23,16.85,0.3,135,1
10.2,0.9946,29,7.4,0.25,151,1
9.4,0.9942,73.5,4.1,0.26,189.5,1
10.4,0.9928,15,0.9,0.23,73,1
10.4,0.9946,34,6.3,0.24,129,0
9.5,0.9927,13,0.8,0.45,82,0
10.6,0.9938,22,1.4,0.23,113,1
11,0.9918,21,1,0.2,74,0
9.6,0.9945,50,1.3,0.14,153,1
9.9,0.9966,20,4.5,0.25,115,1
9.6,0.9954,15,5.4,0.61,118,0
12.8,0.9913,10,1.9,0.21,119,1
11.4,0.9931,31,2,0.22,101,0
10,0.9986,49,12.7,0.26,214,1
9.1,0.9965,57,8.6,0.25,173,0
9.4,0.9984,29,11.1,0.32,198,1
10.2,0.9952,19,2,0.25,189,1
9.2,0.9956,35,2.8,0.44,167,0
9.4,0.9949,31,4.5,0.2,109,0
9.6,0.9954,15,5.4,0.61,118,0
10.1,0.996,20,9.1,0.42,125,1
11.4,0.9931,31,2,0.22,101,0
10.6,0.992,33,2.2,0.26,134,1
12.8,0.9912,40,4.1,0.46,138,1
8.9,0.9978,65,11.8,0.41,225,0
9.3,0.9938,22,1.2,0.32,184,0
11.1,0.9914,40,2.2,0.21,104,1
9.9,0.9932,45,1.4,0.21,143,1
9.6,0.9944,5,1.6,0.26,55,0
12.8,0.9913,10,1.9,0.21,119,1
10.7,0.9948,36,5.2,0.25,135,1
9.2,0.998,29,14.45,0.26,107,1
9.1,0.9998,44.5,14.75,0.22,129.5,1
9.6,0.9964,36,8.3,0.37,216,1
9.2,0.9992,53,14.2,0.22,141,1
10.7,0.9948,36,5.2,0.25,135,1
9.1,0.9998,44.5,14.75,0.22,129.5,1
9.2,0.998,29,14.45,0.26,107,1
10.7,0.9939,14,6.9,0.25,93,1
10.8,0.992,37,1.5,0.18,93,1
10.8,0.9922,26,1.5,0.17,75,1
9,0.9955,35,7.8,0.3,192,0
10.7,0.9917,10,1.5,0.33,97,1
10.7,0.9917,10,1.5,0.33,97,1
9.4,0.9954,11,1.5,0.33,200,0
8.8,0.9986,61,15.55,0.26,171,1
9,0.9955,35,7.8,0.3,192,0
11.5,0.9917,48,1.7,0.21,134,1
12.5,0.9907,30,1.5,0.23,125,1
10.5,0.9922,14,1,0.28,59,1
9.7,0.9958,28,6.7,0.27,188,0
11.3,0.993,32,1.6,0.32,155,1
10.7,0.9917,10,1.5,0.33,97,1
10.8,0.9926,11,1.2,0.24,59,1
10.6,0.9959,41,7.1,0.28,169,0
11.7,0.9906,17,1,0.37,93,1
9.2,0.9993,24,12.1,0.61,220,0
11.1,0.993,25,7.1,0.26,126,1
11.7,0.9906,17,1,0.37,93,1
11,0.992,15.5,1.15,0.23,217.5,1
12.5,0.992,50,6,0.4,127,1
10,0.994,21,1.2,0.28,115,1
10.6,0.9959,41,7.1,0.28,169,0
12.3,0.9908,29,2.3,0.23,102,1
12.7,0.9902,19,3.4,0.32,87,1
12.3,0.9908,29,2.3,0.23,102,1
10.5,0.9943,20,6.5,0.18,110,0
12.5,0.9921,25,1.2,0.26,109,1
12.4,0.9911,18,1.15,0.33,96,0
8.7,0.9986,46,13,0.29,238,1
12.4,0.992,40,4.5,0.41,114,1
12.6,0.992,27,5.85,0.44,93,1
11,0.9943,29,5.2,0.39,131,1
10.1,0.9937,47,1.3,0.26,155,1
10.5,0.993,46,1.7,0.32,195,0
12.7,0.9902,19,3.4,0.32,87,1
10.9,0.9928,35,3.6,0.24,116,0
13.5,0.9896,35,2.7,0.44,128,1
9.7,0.998,28,2.2,0.25,164,0
9.2,0.9954,44,1.8,0.14,178,1
